Breaking Bad S01 × 高中词汇 重叠分析
==================================================
共 429 个高中词汇出现在剧中

排名     单词                   频次       级别
--------------------------------------------------
1      to                   476      A级 ★★★
2      and                  327      A级 ★★★
3      of                   254      A级 ★★★
4      know                 239      A级 ★★★
5      right                189      A级 ★★★
6      on                   177      A级 ★★★
7      like                 160      A级 ★★★
8      about                127      A级 ★★★
9      up                   125      A级 ★★★
10     out                  118      A级 ★★★
11     well                 110      A级 ★★★
12     man                  106      A级 ★★★
13     but                  105      A级 ★★★
14     mean                 103      A级 ★★★
15     at                   100      A级 ★★★
16     with                 93       A级 ★★★
17     think                90       A级 ★★★
18     come                 87       A级 ★★★
19     go                   85       A级 ★★★
20     good                 84       A级 ★★★
21     look                 82       A级 ★★★
22     get                  76       A级 ★★★
23     tell                 70       A级 ★★★
24     now                  53       A级 ★★★
25     let                  52       A级 ★★★
26     or                   50       A级 ★★★
27     time                 50       A级 ★★★
28     from                 50       A级 ★★★
29     need                 50       A级 ★★★
30     say                  49       A级 ★★★
31     down                 46       A级 ★★★
32     yes                  46       A级 ★★★
33     way                  45       A级 ★★★
34     something            44       A级 ★★★
35     back                 42       A级 ★★★
36     want                 41       A级 ★★★
37     off                  40       A级 ★★★
38     talk                 40       A级 ★★★
39     then                 38       A级 ★★★
40     take                 37       A级 ★★★
41     even                 36       A级 ★★★
42     make                 34       A级 ★★★
43     little               34       A级 ★★★
44     any                  33       A级 ★★★
45     thing                33       A级 ★★★
46     money                32       A级 ★★★
47     listen               31       A级 ★★★
48     work                 30       A级 ★★★
49     much                 30       A级 ★★★
50     sure                 30       A级 ★★★
51     kind                 28       A级 ★★★
52     over                 26       A级 ★★★
53     check                26       A级 ★★★
54     house                26       A级 ★★★
55     name                 25       A级 ★★★
56     call                 25       A级 ★★★
57     big                  24       A级 ★★★
58     by                   24       A级 ★★★
59     only                 23       A级 ★★★
60     nothing              23       A级 ★★★
61     give                 22       A级 ★★★
62     actually             21       A级 ★★★
63     enough               20       A级 ★★★
64     day                  20       A级 ★★★
65     last                 20       A级 ★★★
66     school               20       A级 ★★★
67     next                 19       B级 ★★
68     better               19       B级 ★★
69     ever                 19       B级 ★★
70     best                 19       B级 ★★
71     around               18       B级 ★★
72     never                18       B级 ★★
73     new                  17       B级 ★★
74     old                  17       B级 ★★
75     into                 17       B级 ★★
76     after                17       B级 ★★
77     find                 17       B级 ★★
78     remember             17       B级 ★★
79     start                17       B级 ★★
80     life                 16       B级 ★★
81     feel                 16       B级 ★★
82     another              16       B级 ★★
83     always               16       B级 ★★
84     anything             16       B级 ★★
85     bad                  15       B级 ★★
86     understand           15       B级 ★★
87     people               15       B级 ★★
88     through              15       B级 ★★
89     family               14       B级 ★★
90     love                 14       B级 ★★
91     first                14       B级 ★★
92     put                  14       B级 ★★
93     keep                 14       B级 ★★
94     place                13       B级 ★★
95     long                 13       B级 ★★
96     deal                 13       B级 ★★
97     same                 12       B级 ★★
98     again                12       B级 ★★
99     idea                 12       B级 ★★
100    real                 12       B级 ★★
101    lot                  12       B级 ★★
102    help                 12       B级 ★★
