gaokao_rank,word,phonetic,translation,priority,local_corpus_count,local_corpus_rank,frq_rank,bnc_rank,collins,oxford,tags,exchange,definition
1,to,tu:,"prep. 到, 向, 趋于；adv. 向前",A,476,1,7,7,5,1,zk gk,,"prep. The preposition to primarily indicates approach and arrival,    motion made in the direction of a place or thing and attaining it,    access; and also, motion or tendency without arrival; movement toward;    -- opposed to from. prep. Hence, it indicates motion, course, or tendency toward a    time, a state or condition, an aim, or anything capable of being    regarded as a limit to a tendency, movement, or action; as, he is going    to a trade; he is rising to wealth and honor. prep. In a very general way, and with innumerable varieties of    application, to connects transitive verbs with their remoter or    indirect object, and adjectives, nouns, and neuter or passive verbs    with a following noun which limits their action. Its sphere verges upon    that of for, but it contains less the idea of design or appropriation;    as, these remarks were addressed to a large audience; let us keep this    seat to ourselves; a substance sweet to the taste; an event painful to    the mind; duty to God and to our parents; a dislike to spirituous    liquor. prep. As sign of the infinitive, to had originally the use of last    defined, governing the infinitive as a verbal noun, and connecting it    as indirect object with a preceding verb or adjective; thus, ready to    go, i.e., ready unto going; good to eat, i.e., good for eating; I do my    utmost to lead my life pleasantly. But it has come to be the almost    constant prefix to the infinitive, even in situations where it has no    prepositional meaning, as where the infinitive is direct object or    subject; thus, I love to learn, i.e., I love learning; to die for one's    country is noble, i.e., the dying for one's country. Where the    infinitive denotes the design or purpose, good usage formerly allowed    the prefixing of for to the to; as, what went ye out for see? (Matt.    xi. 8). prep. In many phrases, and in connection with many other words, to    has a pregnant meaning, or is used elliptically. prep. Extent; limit; degree of comprehension; inclusion as far as;    as, they met us to the number of three hundred. prep. Effect; end; consequence; as, the prince was flattered to    his ruin; he engaged in a war to his cost; violent factions exist to    the prejudice of the state. prep. Apposition; connection; antithesis; opposition; as, they    engaged hand to hand. prep. Accord; adaptation; as, an occupation to his taste; she has    a husband to her mind. prep. Comparison; as, three is to nine as nine is to twenty-seven;    it is ten to one that you will offend him. prep. Addition; union; accumulation. prep. Accompaniment; as, she sang to his guitar; they danced to    the music of a piano. prep. Character; condition of being; purpose subserved or office    filled."
2,and,ænd,"conj. 和, 与；[计] 与",A,327,2,3,4,5,1,zk gk,,"conj. A particle which expresses the relation of connection or    addition. It is used to conjoin a word with a word, a clause with a    clause, or a sentence with a sentence. conj. In order to; -- used instead of the infinitival to,    especially after try, come, go. conj. It is sometimes, in old songs, a mere expletive. conj. If; though. See An, conj."
3,of,ɒv,"prep. 的, 属于",A,254,3,4,3,5,1,zk gk,,"prep. In a general sense, from, or out from; proceeding from;    belonging to; relating to; concerning; -- used in a variety of    applications; as: prep. Denoting that from which anything proceeds; indicating    origin, source, descent, and the like; as, he is of a race of kings; he    is of noble blood. prep. Denoting possession or ownership, or the relation of subject    to attribute; as, the apartment of the consul: the power of the king; a    man of courage; the gate of heaven. prep. Denoting the material of which anything is composed, or that    which it contains; as, a throne of gold; a sword of steel; a wreath of    mist; a cup of water. prep. Denoting part of an aggregate or whole; belonging to a    number or quantity mentioned; out of; from amongst; as, of this little    he had some to spare; some of the mines were unproductive; most of the    company. prep. Denoting that by which a person or thing is actuated or    impelled; also, the source of a purpose or action; as, they went of    their own will; no body can move of itself; he did it of necessity. prep. Denoting reference to a thing; about; concerning; relating    to; as, to boast of one's achievements. prep. Denoting nearness or distance, either in space or time;    from; as, within a league of the town; within an hour of the appointed    time. prep. Denoting identity or equivalence; -- used with a name or    appellation, and equivalent to the relation of apposition; as, the    continent of America; the city of Rome; the Island of Cuba. prep. Denoting the agent, or person by whom, or thing by which,    anything is, or is done; by. prep. Denoting relation to place or time; belonging to, or    connected with; as, men of Athens; the people of the Middle Ages; in    the days of Herod. prep. Denoting passage from one state to another; from. prep. During; in the course of."
4,know,nәu,"v. 知道, 了解, 认识, 确信",A,239,4,47,49,3,1,zk gk,p:knew/d:known/3:knows/i:knowing,n. the fact of being aware of information that is known to few people v. be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about v. know how to do or perform something v. be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt
5,in,in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着；adv. 进入, 朝里, 在里面, 在屋里；a. 在里面的, 在朝的；n. 执政者, 交情",A,229,5,6,6,2,1,zk gk ielts,,s. holding office s. directed or bound inward s. currently fashionable r. to or toward the inside of
6,right,rait,"n. 权利, 右边, 正义, 右派, 公正；a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的；adv. 正确地, 以有利结果, 一直, 直接, 向右；vt. 扶直, 整理, 纠正, 伸冤, 使昭雪；vi. 恢复平衡；[计] 右, 权利",A,189,6,193,244,3,1,zk gk,s:rights/i:righting/p:righted/3:rights/d:righted,"n. an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away"" n. location near or direction toward the right side; i.e. the side to the south when a person or object faces east n. those who support political or social or economic conservatism; those who believe that things are better left unchanged n. the hand that is on the right side of the body"
7,on,ɒn,prep. 在...之上；adv. ...上去；a. 正起作用的；[计] 打开,A,177,7,17,17,5,1,zk gk ielts,,a. in operation or operational a. (of events) planned or scheduled r. indicates continuity or persistence or concentration r. in a state required for something to function or be effective
8,for,fɒ:,"prep. 为, 因为, 至于；conj. 因为；[计] DOS批处理命令:对一组参数重复执行指定的命令",A,160,8,13,12,5,1,zk gk,,"prep. In the most general sense, indicating that in consideration    of, in view of, or with reference to, which anything is done or takes    place. prep. Indicating the antecedent cause or occasion of an action;    the motive or inducement accompanying and prompting to an act or state;    the reason of anything; that on account of which a thing is or is done. prep. Indicating the remoter and indirect object of an act; the    end or final cause with reference to which anything is, acts, serves,    or is done. prep. Indicating that in favor of which, or in promoting which,    anything is, or is done; hence, in behalf of; in favor of; on the side    of; -- opposed to against. prep. Indicating that toward which the action of anything is    directed, or the point toward which motion is made; /ntending to go to. prep. Indicating that on place of or instead of which anything    acts or serves, or that to which a substitute, an equivalent, a    compensation, or the like, is offered or made; instead of, or place of. prep. Indicating that in the character of or as being which    anything is regarded or treated; to be, or as being. prep. Indicating that instead of which something else controls in    the performing of an action, or that in spite of which anything is    done, occurs, or is; hence, equivalent to notwithstanding, in spite of;    -- generally followed by all, aught, anything, etc. prep. Indicating the space or time through which an action or    state extends; hence, during; in or through the space or time of. prep. Indicating that in prevention of which, or through fear of    which, anything is done. conj. Because; by reason that; for that; indicating, in Old    English, the reason of anything. conj. Since; because; introducing a reason of something before    advanced, a cause, motive, explanation, justification, or the like, of    an action related or a statement made. It is logically nearly    equivalent to since, or because, but connects less closely, and is    sometimes used as a very general introduction to something suggested by    what has gone before. n. One who takes, or that which is said on, the affrimative side;    that which is said in favor of some one or something; -- the antithesis    of against, and commonly used in connection with it."
9,like,laik,"a. 相似的, 同样的；vt. 喜欢, 愿意, 想；vi. 喜欢, 希望；n. 爱好, 同样的人(或物)；prep. 象, 如同；adv. 可能",A,160,9,74,88,5,1,zk gk,p:liked/3:likes/d:liked/s:likes/i:liking,n. a similar kind n. a kind of person v. find enjoyable or agreeable v. be fond of
10,about,ә'baut,"prep. 在...周围, 大约, 有关, 关于；adv. 大约, 四处, 在附近, 周围",A,127,10,46,63,5,1,zk gk,,s. on the move r. all around or on all sides r. in the area or vicinity r. used of movement to or among many different places or in no particular direction
11,up,ʌp,"a. 向上的, 起床的, 涨的；adv. 向上, 上涨；prep. 在...上面, 向...的较高处",A,125,11,50,52,2,1,zk gk,d:upped/0:up/i:upping/3:up/1:3/p:upped/s:ups,v. raise a. being or moving higher in position or greater in some value; being above a former position or level s. extending or moving toward a higher place s. (usually followed by `on' or `for') in readiness
12,out,aut,"a. 外面的, 熄灭的, 结束的；adv. 在外, 熄灭, 出现；prep. 出自, 离去, 向",A,118,13,64,62,5,1,zk gk,i:outing/p:outed/3:outs/d:outed,n. (baseball) a failure by a batter or runner to reach a base safely in baseball v. reveal (something) about somebody's identity or lifestyle v. be made known; be disclosed or revealed a. not allowed to continue to bat or run
13,well,wel,"n. 井, 泉水, 源泉, 好；v. 涌出；a. 健康的, 良好的, 适宜的, 恰当的；adv. 很好地, 适当地, 好意地, 很, 完全；interj. 好啦",A,110,14,100,84,2,1,zk gk toefl,s:wells/i:welling/p:welled/3:wells/d:welled,n. a deep hole or shaft dug or drilled to obtain water or oil or gas or brine n. a cavity or vessel used to contain liquid n. an abundant source n. an open shaft through the floors of a building (as for a stairway)
14,man,mæn,"n. 男人, 人类, 人；vt. 为...配备人手, 操纵, 使振奋；[计] 城域网, 手册",A,106,15,94,91,5,1,zk gk,s:men/d:manned/i:manning/p:manned/3:mans,n. an adult person who is male (as opposed to a woman) n. the generic use of the word to refer to any human being n. a male subordinate n. an adult male person who has a manly character (virile and courageous competent)
15,but,bʌt,prep. 除了；conj. 但是；adv. 仅仅,A,105,16,23,24,5,1,zk gk,,r and nothing more
16,mean,mi:n,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的；vt. 意谓, 想要, 意欲, 预定；vi. 用意, 有意义；n. 平均数, 中间, 中庸",A,103,17,154,121,2,1,zk gk toefl ielts gre,3:means/p:meant/d:meant/i:meaning,n. an average of n numbers computed by adding some function of the numbers and dividing by some function of n v. mean or intend to express or convey v. denote or connote v. have a specified degree of importance
17,at,æt,"prep. 在, 向, 对；[计] 地址转换器, 异常传输, 自动订票",A,100,18,22,22,5,1,zk gk,,n. 100 at equal 1 kip in Laos
18,with,wið,"prep. 和...在一起, 以, 由于",A,93,19,16,16,5,1,zk gk,,"n. See Withe. prep. With denotes or expresses some situation or relation of    nearness, proximity, association, connection, or the like. prep. To denote a close or direct relation of opposition or    hostility; -- equivalent to against. prep. To denote association in respect of situation or    environment; hence, among; in the company of. prep. To denote a connection of friendship, support, alliance,    assistance, countenance, etc.; hence, on the side of. prep. To denote the accomplishment of cause, means, instrument,    etc; -- sometimes equivalent to by. prep. To denote association in thought, as for comparison or    contrast. prep. To denote simultaneous happening, or immediate succession    or consequence. prep. To denote having as a possession or an appendage; as, the    firmament with its stars; a bride with a large fortune."
19,think,θiŋk,"vt. 想, 考虑, 想起, 想像, 打算, 认为；vi. 思考, 料想；n. 想法；a. 思想的",A,90,20,56,64,5,1,zk gk,p:thought/d:thought/i:thinking/3:thinks,"n. an instance of deliberate thinking v. judge or regard; look upon; judge v. expect, believe, or suppose v. use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments"
20,one,wʌn,"n. 一(个)；pron. 一, 任何人；num. 一, 一个；a. 一致的, 完整的",A,88,21,51,46,5,1,zk gk ielts,s:ones,n. the smallest whole number or a numeral representing this number n. a single person or thing s. used of a single unit or thing; not two or more s. having the indivisible character of a unit
21,come,kʌm,"vi. 过来, 来, 到达, 出现, 开始；interj. 喂",A,87,22,70,65,5,1,zk gk ielts,p:came/i:coming/3:comes/d:come/0:come/1:d,"v. move toward, travel toward something or somebody or approach something or somebody v. come to pass; arrive, as in due course v. reach or enter a state, relation, condition, use, or position v. to be the product or result"
22,go,gou,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下；vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)；n. 去, 尝试, 进行",A,85,24,35,44,5,1,zk gk ielts,i:going/p:went/d:gone/3:goes,n. a time for working (after which you will be relieved by someone else) n. a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters v. follow a procedure or take a course v. move away from a place into another direction
23,good,gud,"n. 善行, 好处, 利益；a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的",A,84,25,110,73,5,1,zk gk ielts,t:best/r:better,n. benefit n. moral excellence or admirableness n. that which is pleasing or valuable or useful a. having desirable or positive qualities especially those suitable for a thing specified
24,look,luk,"n. 一看, 神色, 样子, 面容；vi. 看, 注意, 朝着, 显得；vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待",A,82,26,85,82,5,1,zk gk,p:looked/i:looking/3:looks/d:looked/s:looks,n. the act of directing the eyes toward something and perceiving it visually n. physical appearance v. perceive with attention; direct one's gaze towards v. give a certain impression or have a certain outward aspect
25,get,get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上；vi. 到达, 成为, 变得；n. (网球等)救球, 生殖, 幼兽；[计] 取得指令, 获取文件",A,76,27,39,41,5,1,zk gk ielts,d:got/p:got/i:getting/3:gets,"n. a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent v. come into the possession of something concrete or abstract v. cause to move; cause to be in a certain position or condition v. succeed in catching or seizing, especially after a chase"
26,tell,tel,"vt. 告诉, 说, 吩咐, 断定, 知道；vi. 讲述, 泄密, 告发, 表明",A,70,29,103,107,5,1,zk gk,p:told/d:told/i:telling/3:tells,n. a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap) v. let something be known v. narrate or give a detailed account of v. discern or comprehend
27,see,si:,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意；vi. 看, 观看, 注意, 知道, 考虑；n. 主教的职位",A,59,30,67,47,5,1,zk gk,d:seen/p:saw/i:seeing/3:sees,n. the seat within a bishop's diocese where his cathedral is located v. perceive by sight or have the power to perceive by sight v. deem to be v. be careful or certain to do something; make certain of something
28,now,nau,"adv. 现在, 刚才, 目前；n. 现在；a. 现在的；conj. 由于",A,53,32,72,67,5,1,zk gk,,n. the momentary present r. in the historical present; at this point in the narration of a series of past events r. used to preface a command or reproof or request r. at the present moment
29,as,æz,"adv. 同样地, 例如；prep. 做为, 当作；conj. 当...之时, 以...的方式, 像...一样, 因为；[计] 高级系统, 先进系统, 辅助存储器, 自治系统",A,52,33,33,33,5,1,zk gk ielts,,n a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar n a United States territory on the eastern part of the island of Samoa n a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation n any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes n one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose) n (biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA n the basic unit of electric current adopted under the Systeme International d'Unites n the 1st letter of the Roman alphabet n the blood group whose red cells carry the A antigen r to the same degree (often followed by `as')
30,let,let,"vt. 让, 假设, 出租, 排放, 妨碍；vi. 出租, 被承包；n. 出租屋, 障碍",A,52,34,159,320,5,1,zk gk ielts,i:letting/d:let/0:let/1:dp/p:let/3:lets,n. a serve that strikes the net before falling into the receiver's court; the ball must be served again v. make it possible through a specific action or lack of action for something to happen v. actively cause something to happen v. leave unchanged
31,God,^ɔd,"n. 上帝, 神像, 偶像；vt. 使神化",A,51,35,2809,492,4,1,zk gk cet4 ky,s:gods,n. the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions n. a man of such superior qualities that he seems like a deity to other people
32,from,frɒm,"prep. 从, 来自, 根据",A,50,38,26,27,5,1,zk gk,,"prep. Out of the neighborhood of; lessening or losing proximity    to; leaving behind; by reason of; out of; by aid of; -- used whenever    departure, setting out, commencement of action, being, state,    occurrence, etc., or procedure, emanation, absence, separation, etc.,    are to be expressed. It is construed with, and indicates, the point of    space or time at which the action, state, etc., are regarded as setting    out or beginning; also, less frequently, the source, the cause, the    occasion, out of which anything proceeds; -- the aritithesis and    correlative of to; as, it, is one hundred miles from Boston to    Springfield; he took his sword from his side; light proceeds from the    sun; separate the coarse wool from the fine; men have all sprung from    Adam, and often go from good to bad, and from bad to worse; the merit    of an action depends on the principle from which it proceeds; men judge    of facts from personal knowledge, or from testimony."
33,or,ɒ:,"conj. 或, 或者；[计] 或",A,50,36,32,29,5,1,zk gk,,n a state in northwestern United States on the Pacific n a room in a hospital equipped for the performance of surgical operations
34,time,taim,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间；vt. 测定...的时间, 记录...的时间, 计时, 定时；a. 时间的, 记时的, 定时的, 定期的, 分期的；[计] DOS内部命令:用于显示或设定系统的时间",A,50,37,52,50,5,1,zk gk ielts,s:times/d:timed/i:timing/p:timed/3:times,n. an instance or single occasion for some event n. a period of time considered as a resource under your control and sufficient to accomplish something n. an indefinite period (usually marked by specific attributes or activities) n. a suitable moment
35,need,ni:d,"n. 需要, 必须, 缺乏；vt. 需要, 必需；vi. 贫困, 有必要；aux. 需要",A,50,40,132,132,5,1,zk gk,s:needs/3:needs/d:needed/p:needed/i:needing,n. a condition requiring relief n. anything that is necessary but lacking v. have or feel a need for
36,say,sei,"vt. 说, 讲, 念, 说明, 指明；vi. 说, 讲；n. 意见, 发言权",A,49,42,19,32,5,1,zk gk ielts,p:said/3:says/d:said/i:saying,n. the chance to speak v. communicate or express nonverbally v. utter aloud v. state as one's opinion or judgement; declare
37,down,daun,"a. 向下的；adv. 下, 下去, 降下；prep. 往下, 沿着；n. 丘陵, 软毛, 开阔的高地；[计] 向下, 退下命令",A,46,44,118,102,2,1,zk gk toefl gre,s:downs/i:downing/p:downed/3:downs/d:downed,n. soft fine feathers n. (American football) a complete play to advance the football n. English physician who first described Down's syndrome (1828-1896) n. (usually plural) a rolling treeless highland with little soil
38,yes,jes,"adv. 是；n. 是, 同意；v. 同意",A,46,45,258,144,5,1,zk gk,,n. an affirmative
39,way,wei,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面；adv. 远远地, 非常",A,45,46,84,86,5,1,zk gk toefl,s:ways,n. the condition of things generally n. a course of conduct n. any artifact consisting of a road or path affording passage from one place to another n. a journey or passage
40,something,'sʌmθiŋ,"pron. 某事, 某物",A,44,49,142,167,5,1,zk gk,,"n. Anything unknown, undetermined, or not specifically    designated; a certain indefinite thing; an indeterminate or unknown    event; an unspecified task, work, or thing. n. A part; a portion, more or less; an indefinite quantity    or degree; a little. n. A person or thing importance. adv. In some degree; somewhat; to some extent; at some    distance."
41,thank,θæŋk,"n. 谢意, 感谢；vt. 谢谢, 感谢",A,44,47,498,768,5,1,zk gk,p:thanked/i:thanking/d:thanked/3:thanks,v. express gratitude or show appreciation to
42,maybe,'meibi:,"adv. 也许, 大概；n. 可能性",A,43,50,383,955,4,1,zk gk,,r by chance
43,back,bæk,"a. 后面的；vt. 使后退, 支持；vi. 倒退, 背靠；adv. 向后地；n. 背部, 后面",A,42,51,108,105,5,1,zk gk ielts,d:backed/s:backs/p:backed/i:backing/3:backs,n. the posterior part of a human (or animal) body from the neck to the end of the spine n. the part of something that is furthest from the normal viewer n. (football) a person who plays in the backfield n. the part of a garment that covers the back of your body
44,want,wɒnt,"n. 需要的东西, 缺乏, 贫困, 需要；vt. 要, 希望, 应该, 缺少；vi. 生活困苦, 需要, 缺少",A,41,52,83,94,5,1,zk gk gre,p:wanted/3:wants/d:wanted/i:wanting,"v. have need of v. hunt or look for; want for a particular reason v. wish or demand the presence of v. be without, lack; be deficient in"
45,talk,tɒ:k,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言；vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话；vt. 讲, 说, 讨论, 谈论；[计] 对话类, 聊天",A,40,55,168,289,5,1,zk gk,i:talking/s:talks/p:talked/d:talked/3:talks,n. an exchange of ideas via conversation n. discussion; (`talk about' is a less formal alternative for `discussion of') n. the act of giving a talk to an audience n. idle gossip or rumor
46,off,ɒf,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的；adv. 走开, ...掉, ...下, 休息, 出发, 隔断；prep. 离开, 脱落, 不在从事......, 在...之外；vi. 离开, 滚开；vt. 杀死；n. 关闭状态；[计] 关闭, 清屏命令",A,40,54,205,174,5,1,zk gk,i:offing/p:offed/3:offs/d:offed,a. not in operation or operational s. below a satisfactory level a. (of events) no longer planned or scheduled s. in an unpalatable state
47,then,ðen,"adv. 然后, 当时；conj. 然后, 当时；n. 那时",A,38,56,77,59,5,1,zk gk,,n. that time; that moment s. at a specific prior time r. subsequently or soon afterward (often used as sentence connectors) r. in that case or as a consequence
48,take,teik,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费；vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产；n. 拿, 取, 收成, 奏效",A,37,57,63,51,1,1,zk gk ielts,p:took/d:taken/i:taking/3:takes,"n. the act of photographing a scene or part of a scene without interruption v. carry out v. require (time or space) v. get into one's hands, take physically"
49,even,'i:vәn,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的；vt. 使平坦, 使相等；vi. 变平, 成为相等；adv. 甚至, 实际上, 完全, 十分；n. 偶数, 偶校验；[计] 偶数, 偶校验",A,36,58,107,113,1,1,zk gk toefl ielts gre,i:evening/p:evened/3:evens/d:evened,v. become even or more even v. make even or more even a. divisible by two s. equal in degree or extent or amount; or equally matched or balanced
50,white,hwait,"n. 白色, 洁白, 眼白, 白种人, 蛋白；a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的",A,35,60,301,475,5,1,zk gk,s:whites/r:whiter/i:whiting/p:whited/3:whites/d:whited,n. a member of the Caucasoid race n. the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black) n. United States jurist appointed chief justice of the United States Supreme Court in 1910 by President Taft; noted for his work on antitrust legislation (1845-1921) n. Australian writer (1912-1990)
51,sorry,'sɒri,"a. 难过的, 悲哀的, 遗憾的",A,35,61,1205,870,4,1,zk gk,r:sorrier,a feeling or expressing regret or sorrow or a sense of loss over something done or undone s bad; unfortunate s without merit s causing dejection
52,make,meik,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行；vi. 开始, 前进, 增大, 被制造, 被处理；n. 制造, 构造, 性情",A,34,62,45,43,3,1,zk gk ielts,d:made/p:made/i:making/3:makes,v. engage in v. give certain properties to something v. make or cause to be or to become v. compel or make somebody or something to act in a certain way
53,little,'litl,"n. 一点点, 少许, 一会儿, 短时间；a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的；adv. 很少, 稍微, 完全不",A,34,63,256,291,5,1,zk gk,,"n. a small amount or duration a. (quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some s. (of children and animals) young, immature s. (of a voice) faint"
54,thing,θiŋ,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征",A,33,68,97,106,5,1,zk gk,s:things,n. a special situation n. an action n. a special abstraction n. an artifact
55,any,'eni,a. 任何的；pron. 任何,A,33,66,109,78,5,1,zk gk,,s. one or some or every or all without specification r. to any degree or extent
